

Generation 1º
Individual    Value      Choice Probability 
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 46º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 47º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 48º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 49º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 50º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%
